2025-05-14 19:07:00,239 - INFO - Logging to logs/training_20250514_190700/e3nn_training_20250514_190700.log
2025-05-14 19:07:00,753 - INFO - Epoch 10/100, Loss: 1544409120.000000
2025-05-14 19:07:00,841 - INFO - Epoch 20/100, Loss: 557470.347656
2025-05-14 19:07:00,933 - INFO - Epoch 30/100, Loss: 82494.804199
2025-05-14 19:07:01,022 - INFO - Epoch 40/100, Loss: 82259.122070
2025-05-14 19:07:01,116 - INFO - Epoch 50/100, Loss: 81186.799316
2025-05-14 19:07:01,207 - INFO - Epoch 60/100, Loss: 80213.579102
2025-05-14 19:07:01,296 - INFO - Epoch 70/100, Loss: 78767.558105
2025-05-14 19:07:01,385 - INFO - Epoch 80/100, Loss: 80099.266602
2025-05-14 19:07:01,472 - INFO - Epoch 90/100, Loss: 79815.201660
2025-05-14 19:07:01,560 - INFO - Epoch 100/100, Loss: 80911.715820
2025-05-14 19:07:01,571 - INFO - Model saved to models/e3nn_correlator_20250514_190700.pth
