2025-05-14 19:11:49,985 - INFO - Logging to logs/training_20250514_191149/e3nn_training_20250514_191149.log
2025-05-14 19:11:51,350 - INFO - Epoch 10/200, Loss: 54966.440161
2025-05-14 19:11:52,214 - INFO - Epoch 20/200, Loss: 52283.102582
2025-05-14 19:11:53,074 - INFO - Epoch 30/200, Loss: 48472.869056
2025-05-14 19:11:53,916 - INFO - Epoch 40/200, Loss: 44001.152004
2025-05-14 19:11:54,761 - INFO - Epoch 50/200, Loss: 39157.592674
2025-05-14 19:11:55,600 - INFO - Epoch 60/200, Loss: 34056.609885
2025-05-14 19:11:56,441 - INFO - Epoch 70/200, Loss: 28819.568388
2025-05-14 19:11:57,280 - INFO - Epoch 80/200, Loss: 23642.592278
2025-05-14 19:11:58,119 - INFO - Epoch 90/200, Loss: 18701.696473
2025-05-14 19:11:59,014 - INFO - Epoch 100/200, Loss: 14150.843934
2025-05-14 19:11:59,876 - INFO - Epoch 110/200, Loss: 10125.506525
2025-05-14 19:12:00,716 - INFO - Epoch 120/200, Loss: 6738.504770
2025-05-14 19:12:01,558 - INFO - Epoch 130/200, Loss: 4068.377760
2025-05-14 19:12:02,423 - INFO - Epoch 140/200, Loss: 2145.910724
2025-05-14 19:12:03,265 - INFO - Epoch 150/200, Loss: 932.726248
2025-05-14 19:12:04,108 - INFO - Epoch 160/200, Loss: 306.937044
2025-05-14 19:12:04,948 - INFO - Epoch 170/200, Loss: 71.536482
2025-05-14 19:12:05,789 - INFO - Epoch 180/200, Loss: 17.246617
2025-05-14 19:12:06,636 - INFO - Epoch 190/200, Loss: 11.163288
2025-05-14 19:12:07,518 - INFO - Epoch 200/200, Loss: 10.928206
2025-05-14 19:12:07,530 - INFO - Model saved to models/e3nn_correlator_20250514_191149.pth
